,ENTIDAD,OBJETIVO,IMPORTE,AÑO
113,UTE PROYECTO SINGULAR BILBAO,Proyecto Singular Formación Empleo OTXARKOAGA LANBIDE,"100.000,00 €",2019
114,"GLOBERNANCE, INSTITUTO DE GOBERNANZA DEMOCRATICA A.E.I.E.",Bilbao European Encounters,"40.000,00 €",2019
115,ASOCIACION DE COMERCIANTES DEL MERCADO DE LA RIBERA,Plan de Actuación 2019,"7.000,00 €",2019
116,LAGUNTASUNA (ASOCIACIÓN DE COMERCIANTES DE ZORROZA),Plan de Actuación 2019,"14.000,00 €",2019
117,AMETIC,Think Tank 2019,"20.000,00 €",2019
118,MARTA GUTIERREZ TALLON (ÄMMÄ),Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"1.542,38 €",2019
119,"HELADOS ITALIANOS GELATI GELATI, S.L.",Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"2.573,09 €",2019
120,AUZOA BERRITZEN ASOCIACION DE COMERCIANTES DISTRITO 2,Plan de Actuación 2019,"14.000,00 €",2019
121,ASOCIACION DE COMERCIANTES DE BASURTO-BASURTO BERRI,Plan de Actuación 2019,"7.000,00 €",2019
122,ASOCIACION DE COMERCIANTES DE REKALDE BIHOTZEAN,Plan de Actuación 2019,"14.000,00 €",2019
123,MARIO SANCHO MAGUREGI (LA CATEDRAL DE LA CERVEZA),Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"736,91 €",2019
124,BILBAO DENDAK,Promoción y dinamización del comercio urbano,"240.000,00 €",2019
125,ASOCIACION DESTINOS EUSKADI,Plan anual Destinos Euskadi 2019,"15.961,29 €",2019
126,UNIVERSIDAD DEL PAIS VASCO (FACULTAD DE BBAA),intervenciones artísticas Bilbao Art District,"4.519,00 €",2019
127,UNIVERSIDAD DEL PAIS VASCO / MUSEO MARITIMO / CONTAINERS AURTENETXEA,Intervenciones artísticas BILBAO ART DISTRICT,-   €,2019
128,ASOCIACION HACERIA ARTEAK,Actividades de la asociación 2019,"70.000,00 €",2019
129,ASOCIACIÓN CULTURAL MENDI FILM FESTIVAL ELKARTEA,XII Edición del Bilbao Mendi Film Festival,"125.000,00 €",2019
130,ASOCIACIÓN SENDOTU ALDI BEREAN PARA LA INCLUSIÓN SOCIAL,Sendotu 2020,"90.000,00 €",2019
131,EUSKAMPUS FUNDAZIOA,Bizkaia Zientzia Plaza,"70.000,00 €",2019
132,FUNDACIÓN FAIR SATURDAY,Fair Saturday 2019,"65.000,00 €",2019
133,AGRUPACION DE COMERCIANTES DE SANTUTXU,Plan de Actuación 2019,"11.000,00 €",2019
134,ASOCIACION DE COMERCIANTES DE TXURDINAGA,Plan de Actuación 2019,"14.000,00 €",2019
135,"OPTICA JESUS, S.A.",Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"2.775,70 €",2019
136,AGRUPACION DE COMERCIANTES DE SANTUTXU MERKATARIEN ELKARTEA,Apoyo proyectos asociaciones,"6.000,00 €",2019
137,LORALDIA KULTUR ELKARTEA,5o Festival Loraldia,"50.000,00 €",2019
138,ELHUYAR FUNDAZIOA,Bizilabe 2019-2020,"80.000,00 €",2019
139,"CLUB DEPORTIVO BASKET BILBAO BERRI, S.A.D.",Bilbao Basket 2019,"242.000,00 €",2019
140,AYUNTAMIENTO DE BILBAO,Plan de Empleo 2019 Refuerzo,-   €,2019
141,AYUNTAMIENTO DE BILBAO,Bilbao Bizkaia Film Commission,-   €,2019
